dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_mean,SID_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_10_nodes_10_edges_none_ER,NOTEARS-MLP,0.2,0.09,0.1,0.3,0.06,0.24,0.0,0.02,0.0,0.01,0.04,0.2,0.0,0.02,0.01,0.04,9.96,0.2,46.78,1.42,,dag,10,10,10,ER,ER,0.9960000000000001,0.02,46.78,1.42,46.78,1.42,4.678,0.142,4.678,0.142,4.678,0.142
dag_10_nodes_10_edges_none_ER,Random,0.0,0.0,18.22,6.1,0.82,0.09,0.34,0.21,0.82,0.27,0.18,0.09,0.34,0.21,0.23,0.12,18.34,3.28,32.16,10.0,,dag,10,10,10,ER,ER,1.834,0.32799999999999996,32.16,10.0,32.16,10.0,3.2159999999999997,1.0,3.2159999999999997,1.0,3.2159999999999997,1.0
dag_10_nodes_10_edges_none_SF,FGS,0.08,0.01,3.2,1.37,0.61,0.21,0.12,0.02,0.06,0.04,0.39,0.21,0.12,0.02,0.17,0.03,9.26,0.94,16.9,6.23,,dag,10,10,9,SF,SF,1.028888888888889,0.10444444444444444,16.9,6.23,16.9,6.23,1.8777777777777775,0.6922222222222223,1.8777777777777775,0.6922222222222223,1.8777777777777775,0.6922222222222223
dag_10_nodes_10_edges_none_SF,NOTEARS-MLP,0.28,0.09,0.04,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.2,0.0,0.02,0.01,0.04,8.96,0.2,11.96,0.2,,dag,10,10,9,SF,SF,0.9955555555555556,0.022222222222222223,11.96,0.2,11.96,0.2,1.328888888888889,0.022222222222222223,1.328888888888889,0.022222222222222223,1.328888888888889,0.022222222222222223
dag_10_nodes_10_edges_none_SF,Random,0.0,0.0,27.68,10.14,0.9,0.08,0.3,0.22,0.69,0.26,0.1,0.08,0.3,0.22,0.14,0.11,28.64,7.39,21.5,14.34,,dag,10,10,9,SF,SF,3.1822222222222223,0.8211111111111111,21.5,14.34,21.5,14.34,2.388888888888889,1.5933333333333333,2.388888888888889,1.5933333333333333,2.388888888888889,1.5933333333333333
dag_10_nodes_10_edges_none_random,FGS,0.09,0.01,6.32,1.62,0.83,0.11,0.11,0.07,0.15,0.04,0.17,0.11,0.11,0.07,0.14,0.08,13.82,1.4,15.72,3.63,,dag,10,10,10,random,LT,1.3820000000000001,0.13999999999999999,15.72,3.63,15.72,3.63,1.572,0.363,1.572,0.363,1.572,0.363
dag_10_nodes_10_edges_none_random,NOTEARS-MLP,0.3,0.1,0.06,0.24,0.02,0.14,0.0,0.02,0.0,0.0,0.04,0.2,0.0,0.02,0.01,0.04,9.98,0.25,16.96,0.2,,dag,10,10,10,random,LT,0.998,0.025,16.96,0.2,16.96,0.2,1.6960000000000002,0.02,1.6960000000000002,0.02,1.6960000000000002,0.02
dag_10_nodes_10_edges_none_random,Random,0.0,0.0,27.68,10.14,0.9,0.06,0.26,0.18,0.72,0.27,0.1,0.06,0.26,0.18,0.14,0.08,28.92,7.15,25.64,10.78,,dag,10,10,10,random,LT,2.8920000000000003,0.7150000000000001,25.64,10.78,25.64,10.78,2.564,1.0779999999999998,2.564,1.0779999999999998,2.564,1.0779999999999998
dag_10_nodes_10_edges_semantics_ER,FGS,0.09,0.01,6.0,1.68,0.95,0.09,0.03,0.06,0.16,0.05,0.05,0.09,0.03,0.06,0.04,0.07,14.94,1.61,40.0,5.72,,dag,10,10,10,ER,ER,1.494,0.161,40.0,5.72,40.0,5.72,4.0,0.572,4.0,0.572,4.0,0.572
dag_10_nodes_10_edges_semantics_ER,NOTEARS-MLP,0.55,0.32,0.06,0.24,0.04,0.2,0.0,0.01,0.0,0.01,0.02,0.14,0.0,0.01,0.0,0.03,9.98,0.14,39.98,0.65,,dag,10,10,10,ER,ER,0.998,0.014000000000000002,39.98,0.65,39.98,0.65,3.9979999999999998,0.065,3.9979999999999998,0.065,3.9979999999999998,0.065
dag_10_nodes_10_edges_semantics_ER,Random,0.0,0.0,27.68,10.14,0.89,0.06,0.31,0.19,0.7,0.26,0.11,0.06,0.31,0.19,0.16,0.08,28.32,7.31,34.38,13.29,,dag,10,10,10,ER,ER,2.832,0.731,34.38,13.29,34.38,13.29,3.438,1.329,3.438,1.329,3.438,1.329
dag_10_nodes_10_edges_semantics_SF,FGS,0.15,0.02,4.34,1.19,0.88,0.19,0.05,0.09,0.11,0.04,0.12,0.19,0.05,0.09,0.07,0.12,12.02,1.8,19.9,5.26,,dag,10,10,9,SF,SF,1.3355555555555556,0.2,19.9,5.26,19.9,5.26,2.211111111111111,0.5844444444444444,2.211111111111111,0.5844444444444444,2.211111111111111,0.5844444444444444
dag_10_nodes_10_edges_semantics_SF,NOTEARS-MLP,0.92,0.45,0.06,0.24,0.0,0.0,0.01,0.03,0.0,0.0,0.06,0.24,0.01,0.03,0.01,0.05,8.94,0.24,12.94,0.24,,dag,10,10,9,SF,SF,0.9933333333333333,0.026666666666666665,12.94,0.24,12.94,0.24,1.4377777777777778,0.026666666666666665,1.4377777777777778,0.026666666666666665,1.4377777777777778,0.026666666666666665
dag_10_nodes_10_edges_semantics_SF,Random,0.0,0.0,27.68,10.14,0.89,0.07,0.33,0.2,0.69,0.27,0.11,0.07,0.33,0.2,0.16,0.09,27.94,8.25,21.36,12.92,,dag,10,10,9,SF,SF,3.104444444444445,0.9166666666666666,21.36,12.92,21.36,12.92,2.373333333333333,1.4355555555555555,2.373333333333333,1.4355555555555555,2.373333333333333,1.4355555555555555
dag_10_nodes_10_edges_semantics_random,FGS,0.09,0.01,6.68,1.63,0.95,0.08,0.03,0.05,0.18,0.05,0.05,0.08,0.03,0.05,0.04,0.06,15.4,1.78,42.98,6.96,,dag,10,10,10,random,LT,1.54,0.178,42.98,6.96,42.98,6.96,4.298,0.696,4.298,0.696,4.298,0.696
dag_10_nodes_10_edges_semantics_random,NOTEARS-MLP,0.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,,dag,10,10,10,random,LT,1.0,0.0,37.0,0.0,37.0,0.0,3.7,0.0,3.7,0.0,3.7,0.0
dag_10_nodes_10_edges_semantics_random,Random,0.0,0.0,27.68,10.14,0.89,0.06,0.31,0.18,0.7,0.26,0.11,0.06,0.31,0.18,0.16,0.08,29.02,7.03,46.66,12.08,,dag,10,10,10,random,LT,2.902,0.7030000000000001,46.66,12.08,46.66,12.08,4.6659999999999995,1.208,4.6659999999999995,1.208,4.6659999999999995,1.208
dag_10_nodes_15_edges_degrees_ER,FGS,0.09,0.01,9.7,1.69,0.84,0.09,0.11,0.07,0.27,0.05,0.16,0.09,0.11,0.07,0.13,0.08,20.36,1.84,52.8,5.89,,dag,10,15,15,ER,ER,1.3573333333333333,0.12266666666666667,52.8,5.89,52.8,5.89,3.52,0.39266666666666666,3.52,0.39266666666666666,3.52,0.39266666666666666
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3,0.1,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.98,0.14,55.98,0.14,,dag,10,15,15,ER,ER,0.9986666666666667,0.009333333333333334,55.98,0.14,55.98,0.14,3.7319999999999998,0.009333333333333334,3.7319999999999998,0.009333333333333334,3.7319999999999998,0.009333333333333334
dag_10_nodes_15_edges_degrees_ER,Random,0.0,0.0,27.68,10.14,0.84,0.06,0.31,0.17,0.77,0.28,0.16,0.06,0.31,0.17,0.21,0.09,29.06,5.26,53.02,10.66,,dag,10,15,15,ER,ER,1.9373333333333334,0.3506666666666666,53.02,10.66,53.02,10.66,3.534666666666667,0.7106666666666667,3.534666666666667,0.7106666666666667,3.534666666666667,0.7106666666666667
dag_10_nodes_15_edges_degrees_SF,FGS,0.17,0.03,7.9,1.75,0.74,0.1,0.12,0.05,0.21,0.06,0.26,0.1,0.12,0.05,0.16,0.06,19.14,1.58,37.94,9.46,,dag,10,15,17,SF,SF,1.1258823529411766,0.09294117647058824,37.94,9.46,37.94,9.46,2.2317647058823527,0.5564705882352942,2.2317647058823527,0.5564705882352942,2.2317647058823527,0.5564705882352942
dag_10_nodes_15_edges_degrees_SF,NOTEARS-MLP,0.69,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,33.0,0.0,,dag,10,15,17,SF,SF,1.0,0.0,33.0,0.0,33.0,0.0,1.9411764705882353,0.0,1.9411764705882353,0.0,1.9411764705882353,0.0
dag_10_nodes_15_edges_degrees_SF,Random,0.0,0.0,27.68,10.14,0.83,0.08,0.29,0.19,0.81,0.28,0.17,0.08,0.29,0.19,0.21,0.11,29.44,4.53,48.42,13.14,,dag,10,15,17,SF,SF,1.731764705882353,0.2664705882352941,48.42,13.14,48.42,13.14,2.848235294117647,0.7729411764705882,2.848235294117647,0.7729411764705882,2.848235294117647,0.7729411764705882
dag_10_nodes_15_edges_degrees_random,FGS,0.17,0.02,11.14,1.88,0.76,0.09,0.17,0.06,0.28,0.06,0.24,0.09,0.17,0.06,0.2,0.07,19.42,2.11,58.0,8.25,,dag,10,15,15,random,LT,1.2946666666666669,0.14066666666666666,58.0,8.25,58.0,8.25,3.8666666666666667,0.55,3.8666666666666667,0.55,3.8666666666666667,0.55
dag_10_nodes_15_edges_degrees_random,NOTEARS-MLP,0.64,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,53.0,0.0,,dag,10,15,15,random,LT,1.0,0.0,53.0,0.0,53.0,0.0,3.533333333333333,0.0,3.533333333333333,0.0,3.533333333333333,0.0
dag_10_nodes_15_edges_degrees_random,Random,0.0,0.0,27.68,10.14,0.84,0.07,0.3,0.14,0.77,0.3,0.16,0.07,0.3,0.14,0.21,0.08,29.38,6.15,54.26,12.94,,dag,10,15,15,random,LT,1.9586666666666666,0.41000000000000003,54.26,12.94,54.26,12.94,3.6173333333333333,0.8626666666666666,3.6173333333333333,0.8626666666666666,3.6173333333333333,0.8626666666666666
dag_10_nodes_15_edges_none_ER,FGS,0.16,0.03,8.84,2.11,0.79,0.09,0.12,0.05,0.23,0.07,0.21,0.09,0.12,0.05,0.15,0.06,18.04,1.76,55.6,6.38,,dag,10,15,15,ER,ER,1.2026666666666666,0.11733333333333333,55.6,6.38,55.6,6.38,3.7066666666666666,0.42533333333333334,3.7066666666666666,0.42533333333333334,3.7066666666666666,0.42533333333333334
dag_10_nodes_15_edges_none_ER,NOTEARS-MLP,0.97,0.42,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.98,0.14,48.9,0.71,,dag,10,15,15,ER,ER,0.9986666666666667,0.009333333333333334,48.9,0.71,48.9,0.71,3.26,0.04733333333333333,3.26,0.04733333333333333,3.26,0.04733333333333333
dag_10_nodes_15_edges_none_ER,Random,0.0,0.0,27.68,10.14,0.84,0.08,0.3,0.18,0.77,0.29,0.16,0.08,0.3,0.18,0.2,0.1,28.98,6.23,49.52,13.2,,dag,10,15,15,ER,ER,1.932,0.4153333333333334,49.52,13.2,49.52,13.2,3.3013333333333335,0.88,3.3013333333333335,0.88,3.3013333333333335,0.88
dag_10_nodes_15_edges_none_SF,FGS,0.17,0.02,8.48,2.03,0.75,0.1,0.12,0.05,0.23,0.07,0.25,0.1,0.12,0.05,0.16,0.07,20.5,1.93,43.02,6.85,,dag,10,15,17,SF,SF,1.2058823529411764,0.11352941176470588,43.02,6.85,43.02,6.85,2.530588235294118,0.4029411764705882,2.530588235294118,0.4029411764705882,2.530588235294118,0.4029411764705882
dag_10_nodes_15_edges_none_SF,NOTEARS-MLP,0.72,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,39.0,0.0,,dag,10,15,17,SF,SF,1.0,0.0,39.0,0.0,39.0,0.0,2.2941176470588234,0.0,2.2941176470588234,0.0,2.2941176470588234,0.0
dag_10_nodes_15_edges_none_SF,Random,0.0,0.0,27.68,10.14,0.82,0.08,0.3,0.17,0.81,0.29,0.18,0.08,0.3,0.17,0.22,0.1,28.9,5.04,51.9,13.63,,dag,10,15,17,SF,SF,1.7,0.2964705882352941,51.9,13.63,51.9,13.63,3.052941176470588,0.8017647058823529,3.052941176470588,0.8017647058823529,3.052941176470588,0.8017647058823529
dag_10_nodes_15_edges_none_random,FGS,0.17,0.03,8.6,2.05,0.82,0.13,0.11,0.09,0.23,0.06,0.18,0.13,0.11,0.09,0.13,0.1,18.88,2.04,38.8,6.7,,dag,10,15,15,random,LT,1.2586666666666666,0.136,38.8,6.7,38.8,6.7,2.5866666666666664,0.44666666666666666,2.5866666666666664,0.44666666666666666,2.5866666666666664,0.44666666666666666
dag_10_nodes_15_edges_none_random,NOTEARS-MLP,0.68,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,34.0,0.0,,dag,10,15,15,random,LT,1.0,0.0,34.0,0.0,34.0,0.0,2.2666666666666666,0.0,2.2666666666666666,0.0,2.2666666666666666,0.0
dag_10_nodes_15_edges_none_random,Random,0.0,0.0,27.68,10.14,0.84,0.06,0.3,0.16,0.77,0.29,0.16,0.06,0.3,0.16,0.2,0.08,29.08,5.83,45.12,11.03,,dag,10,15,15,random,LT,1.9386666666666665,0.38866666666666666,45.12,11.03,45.12,11.03,3.008,0.7353333333333333,3.008,0.7353333333333333,3.008,0.7353333333333333
dag_10_nodes_15_edges_semantics_ER,FGS,0.17,0.04,7.74,1.83,0.86,0.11,0.08,0.07,0.22,0.05,0.14,0.11,0.08,0.07,0.1,0.08,18.98,1.52,47.94,8.69,,dag,10,15,15,ER,ER,1.2653333333333334,0.10133333333333333,47.94,8.69,47.94,8.69,3.1959999999999997,0.5793333333333333,3.1959999999999997,0.5793333333333333,3.1959999999999997,0.5793333333333333
dag_10_nodes_15_edges_semantics_ER,NOTEARS-MLP,0.91,0.36,0.04,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.2,0.0,0.01,0.0,0.02,14.96,0.2,42.76,1.19,,dag,10,15,15,ER,ER,0.9973333333333334,0.013333333333333334,42.76,1.19,42.76,1.19,2.8506666666666667,0.07933333333333333,2.8506666666666667,0.07933333333333333,2.8506666666666667,0.07933333333333333
dag_10_nodes_15_edges_semantics_ER,Random,0.0,0.0,27.68,10.14,0.83,0.1,0.31,0.18,0.77,0.3,0.17,0.1,0.31,0.18,0.21,0.11,28.74,6.42,49.92,13.01,,dag,10,15,15,ER,ER,1.916,0.428,49.92,13.01,49.92,13.01,3.3280000000000003,0.8673333333333333,3.3280000000000003,0.8673333333333333,3.3280000000000003,0.8673333333333333
dag_10_nodes_15_edges_semantics_SF,FGS,0.17,0.03,11.32,2.01,0.85,0.08,0.1,0.06,0.34,0.07,0.15,0.08,0.1,0.06,0.12,0.07,22.7,1.98,53.78,7.7,,dag,10,15,17,SF,SF,1.3352941176470587,0.11647058823529412,53.78,7.7,53.78,7.7,3.163529411764706,0.45294117647058824,3.163529411764706,0.45294117647058824,3.163529411764706,0.45294117647058824
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.73,0.35,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,16.98,0.14,39.96,0.28,,dag,10,15,17,SF,SF,0.9988235294117648,0.00823529411764706,39.96,0.28,39.96,0.28,2.3505882352941176,0.01647058823529412,2.3505882352941176,0.01647058823529412,2.3505882352941176,0.01647058823529412
dag_10_nodes_15_edges_semantics_SF,Random,0.0,0.0,27.68,10.14,0.8,0.06,0.32,0.14,0.8,0.3,0.2,0.06,0.32,0.14,0.23,0.08,28.9,5.2,52.28,9.25,,dag,10,15,17,SF,SF,1.7,0.3058823529411765,52.28,9.25,52.28,9.25,3.0752941176470587,0.5441176470588235,3.0752941176470587,0.5441176470588235,3.0752941176470587,0.5441176470588235
dag_10_nodes_15_edges_semantics_random,FGS,0.18,0.04,10.06,2.04,0.8,0.11,0.14,0.08,0.27,0.06,0.2,0.11,0.14,0.08,0.16,0.09,18.54,1.93,45.24,7.86,,dag,10,15,15,random,LT,1.236,0.12866666666666665,45.24,7.86,45.24,7.86,3.016,0.524,3.016,0.524,3.016,0.524
dag_10_nodes_15_edges_semantics_random,NOTEARS-MLP,0.84,0.33,0.02,0.14,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,41.12,0.85,,dag,10,15,15,random,LT,1.0,0.0,41.12,0.85,41.12,0.85,2.741333333333333,0.056666666666666664,2.741333333333333,0.056666666666666664,2.741333333333333,0.056666666666666664
dag_10_nodes_15_edges_semantics_random,Random,0.0,0.0,27.68,10.14,0.84,0.07,0.29,0.16,0.78,0.29,0.16,0.07,0.29,0.16,0.19,0.08,29.08,5.76,52.84,12.35,,dag,10,15,15,random,LT,1.9386666666666665,0.384,52.84,12.35,52.84,12.35,3.522666666666667,0.8233333333333334,3.522666666666667,0.8233333333333334,3.522666666666667,0.8233333333333334
dag_15_nodes_15_edges_degrees_ER,FGS,0.18,0.03,8.72,1.8,0.92,0.08,0.05,0.05,0.11,0.02,0.08,0.08,0.05,0.05,0.06,0.06,21.28,1.54,41.4,5.49,,dag,15,15,15,ER,ER,1.4186666666666667,0.10266666666666667,41.4,5.49,41.4,5.49,2.76,0.366,2.76,0.366,2.76,0.366
dag_15_nodes_15_edges_degrees_ER,NOTEARS-MLP,1.6,0.71,0.1,0.3,0.06,0.24,0.0,0.01,0.0,0.0,0.04,0.2,0.0,0.01,0.0,0.02,14.96,0.2,42.98,1.44,,dag,15,15,15,ER,ER,0.9973333333333334,0.013333333333333334,42.98,1.44,42.98,1.44,2.865333333333333,0.096,2.865333333333333,0.096,2.865333333333333,0.096
dag_15_nodes_15_edges_degrees_ER,Random,0.0,0.0,55.1,22.8,0.92,0.03,0.31,0.18,0.66,0.27,0.08,0.03,0.31,0.18,0.12,0.05,56.78,16.84,38.5,12.19,,dag,15,15,15,ER,ER,3.7853333333333334,1.1226666666666667,38.5,12.19,38.5,12.19,2.566666666666667,0.8126666666666666,2.566666666666667,0.8126666666666666,2.566666666666667,0.8126666666666666
dag_15_nodes_15_edges_degrees_SF,FGS,0.18,0.03,7.58,1.51,0.94,0.07,0.03,0.04,0.08,0.02,0.06,0.07,0.03,0.04,0.04,0.05,20.14,1.64,33.9,5.78,,dag,15,15,14,SF,SF,1.4385714285714286,0.11714285714285713,33.9,5.78,33.9,5.78,2.4214285714285713,0.41285714285714287,2.4214285714285713,0.41285714285714287,2.4214285714285713,0.41285714285714287
dag_15_nodes_15_edges_degrees_SF,NOTEARS-MLP,1.84,0.76,0.06,0.24,0.04,0.2,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,13.98,0.14,32.1,0.76,,dag,15,15,14,SF,SF,0.9985714285714286,0.01,32.1,0.76,32.1,0.76,2.292857142857143,0.054285714285714284,2.292857142857143,0.054285714285714284,2.292857142857143,0.054285714285714284
dag_15_nodes_15_edges_degrees_SF,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.31,0.21,0.64,0.26,0.07,0.03,0.31,0.21,0.11,0.05,63.96,20.51,47.24,18.54,,dag,15,15,14,SF,SF,4.5685714285714285,1.465,47.24,18.54,47.24,18.54,3.3742857142857146,1.3242857142857143,3.3742857142857146,1.3242857142857143,3.3742857142857146,1.3242857142857143
dag_15_nodes_15_edges_degrees_random,FGS,0.19,0.04,9.48,1.72,0.82,0.07,0.11,0.04,0.09,0.02,0.18,0.07,0.11,0.04,0.13,0.05,20.42,1.87,33.36,5.08,,dag,15,15,15,random,LT,1.3613333333333335,0.12466666666666668,33.36,5.08,33.36,5.08,2.2239999999999998,0.33866666666666667,2.2239999999999998,0.33866666666666667,2.2239999999999998,0.33866666666666667
dag_15_nodes_15_edges_degrees_random,NOTEARS-MLP,1.63,0.82,0.1,0.42,0.03,0.16,0.0,0.01,0.0,0.0,0.03,0.16,0.0,0.01,0.0,0.02,15.0,0.35,33.02,0.32,,dag,15,15,15,random,LT,1.0,0.02333333333333333,33.02,0.32,33.02,0.32,2.2013333333333334,0.021333333333333333,2.2013333333333334,0.021333333333333333,2.2013333333333334,0.021333333333333333
dag_15_nodes_15_edges_degrees_random,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.31,0.16,0.65,0.27,0.07,0.03,0.31,0.16,0.12,0.05,64.06,20.29,46.58,18.71,,dag,15,15,15,random,LT,4.270666666666667,1.3526666666666667,46.58,18.71,46.58,18.71,3.1053333333333333,1.2473333333333334,3.1053333333333333,1.2473333333333334,3.1053333333333333,1.2473333333333334
dag_15_nodes_15_edges_none_ER,FGS,0.19,0.07,10.06,1.71,0.88,0.08,0.09,0.06,0.12,0.02,0.12,0.08,0.09,0.06,0.1,0.06,22.24,1.71,44.3,4.57,,dag,15,15,15,ER,ER,1.4826666666666666,0.114,44.3,4.57,44.3,4.57,2.953333333333333,0.3046666666666667,2.953333333333333,0.3046666666666667,2.953333333333333,0.3046666666666667
dag_15_nodes_15_edges_none_ER,NOTEARS-MLP,1.96,0.83,0.16,0.47,0.1,0.29,0.0,0.01,0.0,0.0,0.02,0.1,0.0,0.01,0.0,0.02,14.96,0.2,49.16,0.98,,dag,15,15,15,ER,ER,0.9973333333333334,0.013333333333333334,49.16,0.98,49.16,0.98,3.277333333333333,0.06533333333333333,3.277333333333333,0.06533333333333333,3.277333333333333,0.06533333333333333
dag_15_nodes_15_edges_none_ER,Random,0.0,0.0,55.1,22.8,0.92,0.05,0.29,0.15,0.67,0.28,0.08,0.05,0.29,0.15,0.13,0.06,56.44,17.8,52.88,19.84,,dag,15,15,15,ER,ER,3.7626666666666666,1.1866666666666668,52.88,19.84,52.88,19.84,3.5253333333333337,1.3226666666666667,3.5253333333333337,1.3226666666666667,3.5253333333333337,1.3226666666666667
dag_15_nodes_15_edges_none_SF,FGS,0.1,0.02,5.48,1.63,0.92,0.13,0.03,0.05,0.06,0.02,0.08,0.13,0.03,0.05,0.05,0.07,18.22,1.97,26.2,7.75,,dag,15,15,14,SF,SF,1.3014285714285714,0.1407142857142857,26.2,7.75,26.2,7.75,1.8714285714285714,0.5535714285714286,1.8714285714285714,0.5535714285714286,1.8714285714285714,0.5535714285714286
dag_15_nodes_15_edges_none_SF,NOTEARS-MLP,0.49,0.15,0.06,0.31,0.02,0.14,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.02,0.32,26.54,3.97,,dag,15,15,14,SF,SF,1.0014285714285713,0.022857142857142857,26.54,3.97,26.54,3.97,1.8957142857142857,0.2835714285714286,1.8957142857142857,0.2835714285714286,1.8957142857142857,0.2835714285714286
