dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_mean,SID_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_10_nodes_10_edges_none_ER,NOTEARS-MLP,0.2,0.09,0.1,0.3,0.0,0.0,0.01,0.03,0.0,0.0,0.1,0.3,0.01,0.03,0.02,0.06,9.9,0.3,46.3,2.12,47.1,0.3,,cpdag,10,10,10,ER,ER,0.99,0.03,47.1,0.3,4.71,0.03,4.63,0.21200000000000002,4.71,0.03
dag_10_nodes_10_edges_none_ER,Random,0.0,0.0,18.22,6.1,0.75,0.09,0.48,0.26,0.74,0.22,0.21,0.08,0.4,0.21,0.27,0.11,19.2,3.31,22.92,13.17,43.5,6.23,,cpdag,10,10,10,ER,ER,1.92,0.331,43.5,6.23,4.35,0.623,2.2920000000000003,1.317,4.35,0.623
dag_10_nodes_10_edges_none_SF,FGS,0.08,0.01,3.2,1.37,0.36,0.24,0.2,0.07,0.04,0.03,0.39,0.21,0.12,0.02,0.17,0.03,10.24,0.92,14.7,6.31,26.7,5.85,,cpdag,10,10,9,SF,SF,1.1377777777777778,0.10222222222222223,26.7,5.85,2.966666666666667,0.6499999999999999,1.6333333333333333,0.701111111111111,2.966666666666667,0.6499999999999999
dag_10_nodes_10_edges_none_SF,NOTEARS-MLP,0.28,0.09,0.04,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.2,0.0,0.02,0.01,0.04,8.96,0.2,11.96,0.2,12.08,0.4,,cpdag,10,10,9,SF,SF,0.9955555555555556,0.022222222222222223,12.08,0.4,1.3422222222222222,0.044444444444444446,1.328888888888889,0.022222222222222223,1.3422222222222222,0.044444444444444446
dag_10_nodes_10_edges_none_SF,Random,0.0,0.0,27.68,10.14,0.86,0.08,0.43,0.29,0.66,0.24,0.08,0.07,0.24,0.19,0.12,0.1,29.68,8.05,12.38,9.18,36.66,22.63,,cpdag,10,10,9,SF,SF,3.2977777777777777,0.8944444444444445,36.66,22.63,4.073333333333333,2.5144444444444445,1.3755555555555556,1.02,4.073333333333333,2.5144444444444445
dag_10_nodes_10_edges_none_random,FGS,0.09,0.01,6.32,1.62,0.82,0.11,0.12,0.07,0.15,0.04,0.17,0.11,0.11,0.07,0.14,0.08,14.18,1.4,14.76,3.14,19.36,5.34,,cpdag,10,10,10,random,LT,1.418,0.13999999999999999,19.36,5.34,1.936,0.534,1.476,0.314,1.936,0.534
dag_10_nodes_10_edges_none_random,NOTEARS-MLP,0.3,0.1,0.06,0.24,0.02,0.14,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.25,16.96,0.2,17.08,0.4,,cpdag,10,10,10,random,LT,0.998,0.025,17.08,0.4,1.7079999999999997,0.04,1.6960000000000002,0.02,1.7079999999999997,0.04
dag_10_nodes_10_edges_none_random,Random,0.0,0.0,27.68,10.14,0.85,0.07,0.42,0.28,0.67,0.23,0.12,0.06,0.34,0.21,0.17,0.09,29.74,7.19,16.28,9.08,42.72,18.4,,cpdag,10,10,10,random,LT,2.9739999999999998,0.7190000000000001,42.72,18.4,4.272,1.8399999999999999,1.6280000000000001,0.908,4.272,1.8399999999999999
dag_10_nodes_10_edges_semantics_ER,FGS,0.09,0.01,6.0,1.68,0.91,0.13,0.06,0.08,0.15,0.04,0.05,0.09,0.04,0.06,0.04,0.07,14.84,1.69,36.96,3.82,47.5,4.97,,cpdag,10,10,10,ER,ER,1.484,0.16899999999999998,47.5,4.97,4.75,0.497,3.696,0.382,4.75,0.497
dag_10_nodes_10_edges_semantics_ER,NOTEARS-MLP,0.55,0.32,0.06,0.24,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.24,0.01,0.02,0.01,0.04,9.94,0.24,39.7,1.22,40.12,0.52,,cpdag,10,10,10,ER,ER,0.994,0.024,40.12,0.52,4.012,0.052000000000000005,3.97,0.122,4.012,0.052000000000000005
dag_10_nodes_10_edges_semantics_ER,Random,0.0,0.0,27.68,10.14,0.85,0.07,0.44,0.27,0.67,0.24,0.13,0.06,0.38,0.23,0.19,0.09,29.32,7.32,23.3,13.32,51.68,15.67,,cpdag,10,10,10,ER,ER,2.932,0.732,51.68,15.67,5.168,1.567,2.33,1.332,5.168,1.567
dag_10_nodes_10_edges_semantics_SF,FGS,0.15,0.02,4.34,1.19,0.87,0.19,0.06,0.09,0.11,0.04,0.12,0.19,0.05,0.09,0.07,0.12,12.34,1.44,15.14,3.75,22.4,3.51,,cpdag,10,10,9,SF,SF,1.3711111111111112,0.16,22.4,3.51,2.488888888888889,0.38999999999999996,1.6822222222222223,0.4166666666666667,2.488888888888889,0.38999999999999996
dag_10_nodes_10_edges_semantics_SF,NOTEARS-MLP,0.92,0.45,0.06,0.24,0.0,0.0,0.01,0.03,0.0,0.0,0.06,0.24,0.01,0.03,0.01,0.05,8.94,0.24,12.94,0.24,13.12,0.48,,cpdag,10,10,9,SF,SF,0.9933333333333333,0.026666666666666665,13.12,0.48,1.4577777777777776,0.05333333333333333,1.4377777777777778,0.026666666666666665,1.4577777777777776,0.05333333333333333
dag_10_nodes_10_edges_semantics_SF,Random,0.0,0.0,27.68,10.14,0.84,0.07,0.49,0.26,0.65,0.24,0.11,0.07,0.33,0.19,0.16,0.09,28.94,8.59,12.04,8.78,36.06,19.67,,cpdag,10,10,9,SF,SF,3.2155555555555555,0.9544444444444444,36.06,19.67,4.006666666666667,2.1855555555555557,1.3377777777777777,0.9755555555555555,4.006666666666667,2.1855555555555557
dag_10_nodes_10_edges_semantics_random,FGS,0.09,0.01,6.68,1.63,0.93,0.09,0.05,0.06,0.18,0.04,0.05,0.08,0.03,0.05,0.04,0.06,15.42,1.55,37.98,6.88,47.22,8.34,,cpdag,10,10,10,random,LT,1.542,0.155,47.22,8.34,4.7219999999999995,0.834,3.7979999999999996,0.688,4.7219999999999995,0.834
dag_10_nodes_10_edges_semantics_random,NOTEARS-MLP,0.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,37.0,0.0,,cpdag,10,10,10,random,LT,1.0,0.0,37.0,0.0,3.7,0.0,3.7,0.0,3.7,0.0
dag_10_nodes_10_edges_semantics_random,Random,0.0,0.0,27.68,10.14,0.86,0.06,0.43,0.27,0.67,0.23,0.12,0.06,0.34,0.19,0.17,0.08,30.18,7.58,29.7,13.41,63.74,12.47,,cpdag,10,10,10,random,LT,3.018,0.758,63.74,12.47,6.3740000000000006,1.247,2.9699999999999998,1.341,6.3740000000000006,1.247
dag_10_nodes_15_edges_degrees_ER,FGS,0.09,0.01,9.7,1.69,0.81,0.11,0.13,0.08,0.26,0.05,0.16,0.09,0.11,0.07,0.13,0.08,21.26,1.65,49.0,5.13,59.26,8.28,,cpdag,10,15,15,ER,ER,1.4173333333333333,0.11,59.26,8.28,3.9506666666666663,0.5519999999999999,3.2666666666666666,0.34199999999999997,3.9506666666666663,0.5519999999999999
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3,0.1,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,55.98,0.14,56.02,0.14,,cpdag,10,15,15,ER,ER,1.0,0.0,56.02,0.14,3.734666666666667,0.009333333333333334,3.7319999999999998,0.009333333333333334,3.734666666666667,0.009333333333333334
dag_10_nodes_15_edges_degrees_ER,Random,0.0,0.0,27.68,10.14,0.77,0.06,0.45,0.24,0.7,0.23,0.16,0.06,0.31,0.15,0.21,0.08,30.7,6.05,37.28,15.82,66.68,9.65,,cpdag,10,15,15,ER,ER,2.0466666666666664,0.4033333333333333,66.68,9.65,4.445333333333334,0.6433333333333333,2.4853333333333336,1.0546666666666666,4.445333333333334,0.6433333333333333
dag_10_nodes_15_edges_degrees_SF,FGS,0.17,0.03,7.9,1.75,0.57,0.11,0.2,0.05,0.16,0.06,0.17,0.08,0.08,0.04,0.11,0.06,20.6,1.92,33.4,5.35,47.62,8.11,,cpdag,10,15,17,SF,SF,1.211764705882353,0.11294117647058823,47.62,8.11,2.801176470588235,0.47705882352941176,1.964705882352941,0.31470588235294117,2.801176470588235,0.47705882352941176
dag_10_nodes_15_edges_degrees_SF,NOTEARS-MLP,0.69,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,33.0,0.0,33.0,0.0,,cpdag,10,15,17,SF,SF,1.0,0.0,33.0,0.0,1.9411764705882353,0.0,1.9411764705882353,0.0,1.9411764705882353,0.0
dag_10_nodes_15_edges_degrees_SF,Random,0.0,0.0,27.68,10.14,0.75,0.09,0.43,0.25,0.73,0.25,0.17,0.07,0.29,0.17,0.21,0.1,31.64,5.89,31.36,13.04,63.84,13.54,,cpdag,10,15,17,SF,SF,1.8611764705882354,0.3464705882352941,63.84,13.54,3.755294117647059,0.796470588235294,1.8447058823529412,0.7670588235294117,3.755294117647059,0.796470588235294
dag_10_nodes_15_edges_degrees_random,FGS,0.17,0.02,11.14,1.88,0.72,0.09,0.21,0.07,0.27,0.06,0.24,0.09,0.17,0.06,0.2,0.07,20.38,1.65,48.42,8.54,61.96,7.75,,cpdag,10,15,15,random,LT,1.3586666666666667,0.11,61.96,7.75,4.1306666666666665,0.5166666666666667,3.228,0.5693333333333332,4.1306666666666665,0.5166666666666667
dag_10_nodes_15_edges_degrees_random,NOTEARS-MLP,0.64,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,53.0,0.0,53.0,0.0,,cpdag,10,15,15,random,LT,1.0,0.0,53.0,0.0,3.533333333333333,0.0,3.533333333333333,0.0,3.533333333333333,0.0
dag_10_nodes_15_edges_degrees_random,Random,0.0,0.0,27.68,10.14,0.77,0.06,0.44,0.23,0.7,0.24,0.16,0.07,0.28,0.14,0.2,0.08,31.16,6.97,35.74,15.65,68.8,11.3,,cpdag,10,15,15,random,LT,2.0773333333333333,0.4646666666666667,68.8,11.3,4.586666666666667,0.7533333333333334,2.3826666666666667,1.0433333333333334,4.586666666666667,0.7533333333333334
dag_10_nodes_15_edges_none_ER,FGS,0.16,0.03,8.84,2.11,0.65,0.14,0.2,0.08,0.19,0.07,0.21,0.09,0.12,0.05,0.15,0.06,19.22,1.78,48.44,7.51,68.76,8.14,,cpdag,10,15,15,ER,ER,1.2813333333333332,0.11866666666666667,68.76,8.14,4.5840000000000005,0.5426666666666667,3.2293333333333334,0.5006666666666667,4.5840000000000005,0.5426666666666667
dag_10_nodes_15_edges_none_ER,NOTEARS-MLP,0.97,0.42,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,0.14,48.9,0.71,49.06,0.42,,cpdag,10,15,15,ER,ER,0.9986666666666667,0.009333333333333334,49.06,0.42,3.2706666666666666,0.028,3.26,0.04733333333333333,3.2706666666666666,0.028
dag_10_nodes_15_edges_none_ER,Random,0.0,0.0,27.68,10.14,0.77,0.09,0.44,0.25,0.7,0.25,0.15,0.07,0.28,0.16,0.19,0.09,30.48,6.62,34.38,16.79,63.22,11.16,,cpdag,10,15,15,ER,ER,2.032,0.44133333333333336,63.22,11.16,4.214666666666667,0.744,2.2920000000000003,1.1193333333333333,4.214666666666667,0.744
dag_10_nodes_15_edges_none_SF,FGS,0.17,0.02,8.48,2.03,0.72,0.12,0.13,0.06,0.22,0.07,0.24,0.11,0.12,0.05,0.15,0.07,21.22,2.13,39.34,6.35,50.48,8.54,,cpdag,10,15,17,SF,SF,1.2482352941176469,0.1252941176470588,50.48,8.54,2.969411764705882,0.5023529411764706,2.314117647058824,0.3735294117647059,2.969411764705882,0.5023529411764706
dag_10_nodes_15_edges_none_SF,NOTEARS-MLP,0.72,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,39.0,0.0,39.0,0.0,,cpdag,10,15,17,SF,SF,1.0,0.0,39.0,0.0,2.2941176470588234,0.0,2.2941176470588234,0.0,2.2941176470588234,0.0
dag_10_nodes_15_edges_none_SF,Random,0.0,0.0,27.68,10.14,0.74,0.08,0.44,0.23,0.72,0.25,0.2,0.08,0.34,0.19,0.25,0.1,31.04,6.16,34.04,14.3,67.32,12.32,,cpdag,10,15,17,SF,SF,1.8258823529411765,0.3623529411764706,67.32,12.32,3.9599999999999995,0.7247058823529412,2.0023529411764707,0.8411764705882353,3.9599999999999995,0.7247058823529412
dag_10_nodes_15_edges_none_random,FGS,0.17,0.03,8.6,2.05,0.75,0.16,0.14,0.09,0.22,0.07,0.18,0.13,0.11,0.09,0.13,0.1,19.94,1.71,31.72,6.53,45.64,6.98,,cpdag,10,15,15,random,LT,1.3293333333333335,0.114,45.64,6.98,3.042666666666667,0.4653333333333334,2.1146666666666665,0.43533333333333335,3.042666666666667,0.4653333333333334
dag_10_nodes_15_edges_none_random,NOTEARS-MLP,0.68,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,34.0,0.0,34.0,0.0,,cpdag,10,15,15,random,LT,1.0,0.0,34.0,0.0,2.2666666666666666,0.0,2.2666666666666666,0.0,2.2666666666666666,0.0
dag_10_nodes_15_edges_none_random,Random,0.0,0.0,27.68,10.14,0.77,0.08,0.43,0.26,0.71,0.24,0.15,0.06,0.29,0.15,0.19,0.07,31.12,6.58,30.82,13.99,60.8,12.66,,cpdag,10,15,15,random,LT,2.074666666666667,0.43866666666666665,60.8,12.66,4.053333333333333,0.844,2.054666666666667,0.9326666666666666,4.053333333333333,0.844
dag_10_nodes_15_edges_semantics_ER,FGS,0.17,0.04,7.74,1.83,0.8,0.1,0.11,0.07,0.2,0.05,0.14,0.11,0.08,0.07,0.1,0.08,19.16,1.56,43.1,6.23,56.82,9.45,,cpdag,10,15,15,ER,ER,1.2773333333333334,0.10400000000000001,56.82,9.45,3.788,0.63,2.8733333333333335,0.4153333333333334,3.788,0.63
dag_10_nodes_15_edges_semantics_ER,NOTEARS-MLP,0.91,0.36,0.04,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.2,0.0,0.01,0.0,0.02,14.96,0.2,42.76,1.19,43.2,0.99,,cpdag,10,15,15,ER,ER,0.9973333333333334,0.013333333333333334,43.2,0.99,2.8800000000000003,0.066,2.8506666666666667,0.07933333333333333,2.8800000000000003,0.066
dag_10_nodes_15_edges_semantics_ER,Random,0.0,0.0,27.68,10.14,0.76,0.1,0.45,0.25,0.7,0.26,0.15,0.1,0.26,0.16,0.18,0.11,30.2,7.16,34.24,14.24,63.38,12.72,,cpdag,10,15,15,ER,ER,2.013333333333333,0.47733333333333333,63.38,12.72,4.225333333333333,0.8480000000000001,2.2826666666666666,0.9493333333333334,4.225333333333333,0.8480000000000001
dag_10_nodes_15_edges_semantics_SF,FGS,0.17,0.03,11.32,2.01,0.78,0.1,0.15,0.07,0.31,0.07,0.15,0.08,0.1,0.05,0.12,0.06,23.42,2.12,44.86,7.46,61.68,9.21,,cpdag,10,15,17,SF,SF,1.3776470588235294,0.12470588235294118,61.68,9.21,3.6282352941176472,0.541764705882353,2.6388235294117646,0.4388235294117647,3.6282352941176472,0.541764705882353
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.73,0.35,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98,0.14,39.96,0.28,40.06,0.42,,cpdag,10,15,17,SF,SF,0.9988235294117648,0.00823529411764706,40.06,0.42,2.356470588235294,0.024705882352941175,2.3505882352941176,0.01647058823529412,2.356470588235294,0.024705882352941175
dag_10_nodes_15_edges_semantics_SF,Random,0.0,0.0,27.68,10.14,0.73,0.08,0.45,0.23,0.72,0.25,0.19,0.07,0.31,0.13,0.23,0.08,31.24,6.29,36.92,13.43,65.8,12.03,,cpdag,10,15,17,SF,SF,1.8376470588235294,0.37,65.8,12.03,3.8705882352941177,0.7076470588235294,2.171764705882353,0.79,3.8705882352941177,0.7076470588235294
dag_10_nodes_15_edges_semantics_random,FGS,0.18,0.04,10.06,2.04,0.7,0.13,0.2,0.1,0.23,0.05,0.2,0.11,0.13,0.08,0.16,0.09,19.24,1.74,40.1,6.42,50.32,7.31,,cpdag,10,15,15,random,LT,1.2826666666666666,0.116,50.32,7.31,3.3546666666666667,0.4873333333333333,2.6733333333333333,0.428,3.3546666666666667,0.4873333333333333
dag_10_nodes_15_edges_semantics_random,NOTEARS-MLP,0.84,0.33,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.98,0.14,40.94,0.42,41.12,0.85,,cpdag,10,15,15,random,LT,0.9986666666666667,0.009333333333333334,41.12,0.85,2.741333333333333,0.056666666666666664,2.7293333333333334,0.028,2.741333333333333,0.056666666666666664
dag_10_nodes_15_edges_semantics_random,Random,0.0,0.0,27.68,10.14,0.78,0.07,0.43,0.24,0.71,0.24,0.14,0.07,0.25,0.15,0.17,0.09,30.74,6.21,35.22,14.37,67.76,11.84,,cpdag,10,15,15,random,LT,2.0493333333333332,0.414,67.76,11.84,4.517333333333334,0.7893333333333333,2.348,0.958,4.517333333333334,0.7893333333333333
dag_15_nodes_15_edges_degrees_ER,FGS,0.18,0.03,8.72,1.8,0.86,0.12,0.09,0.07,0.1,0.02,0.08,0.08,0.05,0.05,0.06,0.06,21.22,1.9,37.74,5.31,45.76,4.31,,cpdag,15,15,15,ER,ER,1.4146666666666665,0.12666666666666665,45.76,4.31,3.0506666666666664,0.28733333333333333,2.516,0.354,3.0506666666666664,0.28733333333333333
dag_15_nodes_15_edges_degrees_ER,NOTEARS-MLP,1.6,0.71,0.1,0.3,0.0,0.0,0.01,0.02,0.0,0.0,0.04,0.2,0.0,0.01,0.0,0.02,14.92,0.27,42.54,1.51,43.3,1.15,,cpdag,15,15,15,ER,ER,0.9946666666666667,0.018000000000000002,43.3,1.15,2.8866666666666663,0.07666666666666666,2.836,0.10066666666666667,2.8866666666666663,0.07666666666666666
dag_15_nodes_15_edges_degrees_ER,Random,0.0,0.0,55.1,22.8,0.9,0.04,0.4,0.26,0.65,0.26,0.07,0.03,0.28,0.18,0.11,0.06,58.3,17.5,29.22,13.72,53.44,18.59,,cpdag,15,15,15,ER,ER,3.8866666666666663,1.1666666666666667,53.44,18.59,3.5626666666666664,1.2393333333333334,1.948,0.9146666666666667,3.5626666666666664,1.2393333333333334
dag_15_nodes_15_edges_degrees_SF,FGS,0.18,0.03,7.58,1.51,0.89,0.1,0.06,0.05,0.07,0.02,0.05,0.07,0.03,0.04,0.04,0.05,20.4,1.56,30.62,4.52,39.94,7.11,,cpdag,15,15,14,SF,SF,1.457142857142857,0.11142857142857143,39.94,7.11,2.8528571428571428,0.5078571428571429,2.1871428571428573,0.32285714285714284,2.8528571428571428,0.5078571428571429
dag_15_nodes_15_edges_degrees_SF,NOTEARS-MLP,1.84,0.76,0.06,0.24,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,13.94,0.24,31.9,0.42,32.2,0.81,,cpdag,15,15,14,SF,SF,0.9957142857142857,0.017142857142857144,32.2,0.81,2.3000000000000003,0.057857142857142864,2.2785714285714285,0.03,2.3000000000000003,0.057857142857142864
dag_15_nodes_15_edges_degrees_SF,Random,0.0,0.0,62.82,25.82,0.91,0.04,0.39,0.25,0.63,0.25,0.07,0.03,0.31,0.19,0.11,0.05,65.44,21.63,35.3,14.16,72.82,36.94,,cpdag,15,15,14,SF,SF,4.674285714285714,1.545,72.82,36.94,5.201428571428571,2.6385714285714283,2.5214285714285714,1.0114285714285713,5.201428571428571,2.6385714285714283
dag_15_nodes_15_edges_degrees_random,FGS,0.19,0.04,9.48,1.72,0.78,0.1,0.13,0.06,0.08,0.02,0.17,0.07,0.11,0.04,0.13,0.05,21.5,2.19,30.94,4.05,42.22,6.36,,cpdag,15,15,15,random,LT,1.4333333333333333,0.146,42.22,6.36,2.8146666666666667,0.42400000000000004,2.062666666666667,0.26999999999999996,2.8146666666666667,0.42400000000000004
dag_15_nodes_15_edges_degrees_random,NOTEARS-MLP,1.63,0.82,0.1,0.42,0.02,0.14,0.0,0.02,0.0,0.0,0.01,0.07,0.0,0.01,0.0,0.02,14.98,0.43,32.92,0.44,33.18,0.94,,cpdag,15,15,15,random,LT,0.9986666666666667,0.028666666666666667,33.18,0.94,2.212,0.06266666666666666,2.194666666666667,0.029333333333333333,2.212,0.06266666666666666
dag_15_nodes_15_edges_degrees_random,Random,0.0,0.0,62.82,25.82,0.91,0.03,0.41,0.23,0.63,0.26,0.07,0.03,0.3,0.17,0.11,0.05,65.78,21.12,34.4,15.56,69.78,34.69,,cpdag,15,15,15,random,LT,4.3853333333333335,1.4080000000000001,69.78,34.69,4.652,2.3126666666666664,2.2933333333333334,1.0373333333333334,4.652,2.3126666666666664
dag_15_nodes_15_edges_none_ER,FGS,0.19,0.07,10.06,1.71,0.87,0.08,0.09,0.06,0.11,0.02,0.12,0.08,0.09,0.06,0.1,0.06,22.56,1.62,42.92,4.34,52.56,6.98,,cpdag,15,15,15,ER,ER,1.504,0.10800000000000001,52.56,6.98,3.504,0.4653333333333334,2.8613333333333335,0.28933333333333333,3.504,0.4653333333333334
dag_15_nodes_15_edges_none_ER,NOTEARS-MLP,1.96,0.83,0.16,0.47,0.0,0.0,0.01,0.03,0.0,0.0,0.09,0.28,0.01,0.03,0.01,0.05,14.84,0.47,48.4,1.86,49.3,1.15,,cpdag,15,15,15,ER,ER,0.9893333333333333,0.03133333333333333,49.3,1.15,3.2866666666666666,0.07666666666666666,3.2266666666666666,0.12400000000000001,3.2866666666666666,0.07666666666666666
dag_15_nodes_15_edges_none_ER,Random,0.0,0.0,55.1,22.8,0.89,0.05,0.4,0.25,0.65,0.26,0.09,0.05,0.33,0.19,0.14,0.06,58.04,17.91,38.7,18.19,75.68,33.33,,cpdag,15,15,15,ER,ER,3.869333333333333,1.194,75.68,33.33,5.045333333333334,2.222,2.58,1.2126666666666668,5.045333333333334,2.222
dag_15_nodes_15_edges_none_SF,FGS,0.1,0.02,5.48,1.63,0.91,0.13,0.04,0.05,0.05,0.02,0.08,0.13,0.03,0.05,0.05,0.07,18.28,1.93,25.34,8.07,31.06,11.56,,cpdag,15,15,14,SF,SF,1.3057142857142858,0.13785714285714284,31.06,11.56,2.2185714285714284,0.8257142857142857,1.81,0.5764285714285714,2.2185714285714284,0.8257142857142857
dag_15_nodes_15_edges_none_SF,NOTEARS-MLP,0.49,0.15,0.06,0.31,0.02,0.14,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02,0.32,26.24,1.85,26.62,3.97,,cpdag,15,15,14,SF,SF,1.0014285714285713,0.022857142857142857,26.62,3.97,1.9014285714285715,0.2835714285714286,1.874285714285714,0.13214285714285715,1.9014285714285715,0.2835714285714286
