dataset,impl,time,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
dag_15_nodes_22_edges_semantics_ER,llm-bfs,1,4,0.5,0.0909,0.0241,0.5,0.0909,0.1538,21,119,4,0.25,0.1364,0.012,0,0,,23,119,135
dag_15_nodes_15_edges_none_ER,llm-bfs,1,15,0.4,0.6,0.0789,0.6,0.6,0.6,9,28,15,0.2,0.8,0.0395,0.6,0.6,0.6,8,9,67
dag_5_nodes_7_edges_degrees_random,llm-bfs,1,3,0,0.4286,0,1,0.4286,0.6,4,13,3,0,0.4286,0,0,0,,4,13,20
dag_10_nodes_15_edges_none_SF,llm-bfs,1,5,0.4,0.1765,0.0714,0.6,0.1765,0.2727,15,40,5,0.2,0.2353,0.0357,0.6,0.1765,0.2727,17,40,56
dag_15_nodes_22_edges_none_random,llm-bfs,1,7,0.1429,0.2727,0.012,0.8571,0.2727,0.4138,16,63,7,0,0.3182,0,0.5714,0.1818,0.2759,18,61,87
dag_5_nodes_7_edges_semantics_SF,llm-bfs,1,1,0,0.25,0,1,0.25,0.4,3,5,1,0,0.25,0,0,0,,3,5,8
dag_15_nodes_22_edges_none_ER,llm-bfs,1,14,0.6429,0.2273,0.1084,0.3571,0.2273,0.2778,26,65,14,0.6429,0.2273,0.1084,0.2143,0.1364,0.1667,29,65,91
dag_5_nodes_5_edges_none_random,llm-bfs,1,1,0,0.2,0,1,0.2,0.3333,4,11,1,0,0.2,0,0,0,,5,11,12
dag_10_nodes_10_edges_degrees_ER,llm-bfs,1,6,0.3333,0.4,0.0571,0.6667,0.4,0.5,6,27,6,0,0.6,0,0.5,0.3,0.375,7,21,36
dag_5_nodes_7_edges_none_SF,llm-bfs,1,6,0.3333,1,0.3333,0.6667,1,0.8,2,0,6,0.3333,1,0.3333,0.6667,1,0.8,4,0,4
dag_15_nodes_15_edges_degrees_ER,llm-bfs,1,19,0.6842,0.4,0.1711,0.3158,0.4,0.3529,15,47,19,0.4737,0.6667,0.1184,0.3158,0.4,0.3529,18,23,79
dag_15_nodes_15_edges_none_SF,llm-bfs,1,70,0.9143,0.4286,0.7033,0.0857,0.4286,0.1429,64,68,70,0.8857,0.5714,0.6813,0.1,0.5,0.1667,66,65,88
dag_15_nodes_22_edges_semantics_SF,llm-bfs,1,7,0.4286,0.2857,0.033,0.5714,0.2857,0.381,10,41,7,0,0.5,0,0.4286,0.2143,0.2857,11,37,68
dag_10_nodes_15_edges_none_ER,llm-bfs,1,9,0.4444,0.3333,0.1333,0.5556,0.3333,0.4167,13,42,9,0.3333,0.4,0.1,0.2222,0.1333,0.1667,15,32,78
dag_10_nodes_15_edges_degrees_SF,llm-bfs,1,18,0.8333,0.1765,0.5357,0.1667,0.1765,0.1714,24,59,18,0.6111,0.4118,0.3929,0.2222,0.2353,0.2286,25,32,70
dag_5_nodes_5_edges_degrees_SF,llm-bfs,1,5,0.2,1,0.1667,0.8,1,0.8889,1,0,5,0.2,1,0.1667,0.6,0.75,0.6667,1,0,20
dag_15_nodes_22_edges_degrees_SF,llm-bfs,1,15,0.6,0.4286,0.0989,0.4,0.4286,0.4138,16,47,15,0.6,0.4286,0.0989,0.2,0.2143,0.2069,18,39,61
dag_5_nodes_5_edges_none_SF,llm-bfs,1,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3,8,2,0,0.5,0,1,0.5,0.6667,3,3,11
dag_15_nodes_15_edges_semantics_random,llm-bfs,1,25,0.76,0.4,0.2111,0.24,0.4,0.3,22,113,25,0.72,0.4667,0.2,0.24,0.4,0.3,26,101,142
dag_10_nodes_10_edges_none_ER,llm-bfs,1,11,0.6364,0.4,0.3889,0.3636,0.4,0.381,11,35,11,0.5455,0.5,0.3333,0.2727,0.3,0.2857,12,24,54
dag_5_nodes_5_edges_degrees_random,llm-bfs,1,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3,10,3,0,0.6,0,0.3333,0.2,0.25,4,10,19
dag_5_nodes_5_edges_semantics_SF,llm-bfs,1,3,0,0.75,0,1,0.75,0.8571,1,1,3,0,0.75,0,0.3333,0.25,0.2857,2,1,14
dag_5_nodes_5_edges_semantics_random,llm-bfs,1,3,0,0.6,0,1,0.6,0.75,2,3,3,0,0.6,0,1,0.6,0.75,3,3,12
dag_10_nodes_15_edges_semantics_random,llm-bfs,1,23,0.4783,0.8,0.3667,0.5217,0.8,0.6316,14,5,23,0.4783,0.8,0.3667,0.3478,0.5333,0.4211,16,5,35
dag_15_nodes_22_edges_degrees_random,llm-bfs,1,9,0.3333,0.2727,0.0361,0.6667,0.2727,0.3871,16,93,9,0,0.4091,0,0.5556,0.2273,0.3226,21,69,129
dag_10_nodes_15_edges_semantics_ER,llm-bfs,1,6,0.1667,0.3333,0.0333,0.8333,0.3333,0.4762,10,33,6,0,0.4,0,0.3333,0.1333,0.1905,13,33,57
dag_15_nodes_15_edges_semantics_ER,llm-bfs,1,10,0.7,0.2,0.0778,0.3,0.2,0.24,15,51,10,0.3,0.4667,0.0333,0.4,0.2667,0.32,16,31,56
dag_5_nodes_7_edges_degrees_ER,llm-bfs,1,4,0,0.5714,0,1,0.5714,0.7273,3,5,4,0,0.5714,0,1,0.5714,0.7273,3,5,12
dag_15_nodes_15_edges_degrees_random,llm-bfs,1,12,0.5,0.4,0.0667,0.5,0.4,0.4444,10,47,12,0.1667,0.6667,0.0222,0.3333,0.2667,0.2963,13,45,86
dag_10_nodes_10_edges_semantics_SF,llm-bfs,1,26,0.8077,0.5556,0.5833,0.1923,0.5556,0.2857,22,18,26,0.7692,0.6667,0.5556,0.1538,0.4444,0.2286,23,12,21
dag_5_nodes_5_edges_semantics_ER,llm-bfs,1,4,0.25,0.6,0.2,0.75,0.6,0.6667,2,6,4,0,0.8,0,0.75,0.6,0.6667,3,6,13
dag_10_nodes_10_edges_semantics_random,llm-bfs,1,37,0.7838,0.8,0.8286,0.2162,0.8,0.3404,29,13,37,0.7297,1,0.7714,0.2162,0.8,0.3404,31,0,26
dag_10_nodes_10_edges_none_random,llm-bfs,1,1,1,0,0.0286,0,0,,10,20,1,0,0.1,0,1,0.1,0.1818,9,14,20
dag_15_nodes_22_edges_degrees_ER,llm-bfs,1,14,0.6429,0.2273,0.1084,0.3571,0.2273,0.2778,22,112,14,0.4286,0.3636,0.0723,0.2857,0.1818,0.2222,25,82,146
dag_5_nodes_7_edges_semantics_random,llm-bfs,1,4,0.25,0.4286,0.3333,0.75,0.4286,0.5455,5,12,4,0.25,0.4286,0.3333,0.5,0.2857,0.3636,6,12,15
dag_10_nodes_10_edges_none_SF,llm-bfs,1,32,0.8438,0.5556,0.75,0.1562,0.5556,0.2439,27,22,32,0.75,0.8889,0.6667,0.1562,0.5556,0.2439,29,4,36
dag_10_nodes_15_edges_none_random,llm-bfs,1,10,0.3,0.4667,0.1,0.7,0.4667,0.56,10,19,10,0.2,0.5333,0.0667,0.3,0.2,0.24,13,11,46
dag_5_nodes_5_edges_none_ER,llm-bfs,1,1,0,0.2,0,1,0.2,0.3333,4,10,1,0,0.2,0,1,0.2,0.3333,5,10,15
dag_5_nodes_7_edges_degrees_SF,llm-bfs,1,4,0.5,0.5,0.3333,0.5,0.5,0.5,2,8,4,0,1,0,0.75,0.75,0.75,0,0,8
dag_15_nodes_15_edges_semantics_SF,llm-bfs,1,8,0.875,0.0714,0.0769,0.125,0.0714,0.0909,15,68,8,0.25,0.4286,0.022,0.375,0.2143,0.2727,14,10,83
dag_15_nodes_22_edges_semantics_random,llm-bfs,1,15,0.2,0.5455,0.0361,0.8,0.5455,0.6486,12,67,15,0.1333,0.5909,0.0241,0.6,0.4091,0.4865,14,40,99
dag_10_nodes_10_edges_semantics_ER,llm-bfs,1,5,0.2,0.4,0.0286,0.8,0.4,0.5333,6,31,5,0,0.5,0,0.6,0.3,0.4,8,31,63
dag_10_nodes_15_edges_semantics_SF,llm-bfs,1,21,0.3333,0.8235,0.25,0.6667,0.8235,0.7368,10,11,21,0.3333,0.8235,0.25,0.6667,0.8235,0.7368,12,11,16
