dataset,n_samples,alg,precision,recall,F_score,accuracy,SID,NHD,REFERENCE NHD,RATIO,Number of predicted edges,Number of true edges,Is true graph a DAG?,Is estimated graph a DAG?
dag_10_nodes_15_edges_degrees_random,5000,llm_bfs_with_statistics,0.6923076923076923,0.6,0.6428571428571429,0.47368421052631576,Not a DAG,0.12345679012345678,0.345679012345679,0.35714285714285715,13,15,True,True
dag_10_nodes_15_edges_none_ER,5000,llm_bfs_with_statistics,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.2631578947368421,Not a DAG,0.14,0.24,0.5833333333333334,9,15,True,True
dag_10_nodes_15_edges_none_SF,5000,llm_bfs_with_statistics,0.6,0.17647058823529413,0.2727272727272727,0.15789473684210525,Not a DAG,0.64,0.88,0.7272727272727273,5,17,True,True
dag_10_nodes_15_edges_none_random,5000,llm_bfs_with_statistics,0.7,0.4666666666666667,0.56,0.3888888888888889,Not a DAG,0.22448979591836735,0.5102040816326531,0.44,10,15,True,True
dag_10_nodes_15_edges_semantics_ER,5000,llm_bfs_with_statistics,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.3125,Not a DAG,0.22448979591836735,0.42857142857142855,0.5238095238095238,6,15,True,True
dag_10_nodes_15_edges_semantics_SF,5000,llm_bfs_with_statistics,0.6666666666666666,0.8235294117647058,0.7368421052631577,0.5833333333333334,Not a DAG,0.1,0.38,0.2631578947368421,21,17,True,True
dag_10_nodes_15_edges_semantics_random,5000,llm_bfs_with_statistics,0.5217391304347826,0.8,0.6315789473684211,0.46153846153846156,Not a DAG,0.1728395061728395,0.4691358024691358,0.3684210526315789,23,15,True,True
dag_15_nodes_15_edges_degrees_ER,5000,llm_bfs_with_statistics,0.3157894736842105,0.4,0.35294117647058826,0.21428571428571427,Not a DAG,0.11224489795918367,0.17346938775510204,0.6470588235294118,19,15,True,True
dag_15_nodes_15_edges_degrees_SF,5000,llm_bfs_with_statistics,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.2857142857142857,Not a DAG,0.08888888888888889,0.16,0.5555555555555556,22,14,True,True
dag_15_nodes_15_edges_degrees_random,5000,llm_bfs_with_statistics,0.5,0.4,0.4444444444444445,0.2857142857142857,Not a DAG,0.07653061224489796,0.1377551020408163,0.5555555555555556,12,15,True,True
dag_15_nodes_15_edges_none_ER,5000,llm_bfs_with_statistics,0.6,0.6,0.6,0.42857142857142855,Not a DAG,0.07100591715976332,0.17751479289940827,0.4,15,15,True,True
dag_15_nodes_15_edges_none_SF,5000,llm_bfs_with_statistics,0.08571428571428572,0.42857142857142855,0.14285714285714285,0.07692307692307693,Not a DAG,0.32,0.37333333333333335,0.8571428571428571,70,14,True,True
dag_15_nodes_15_edges_none_random,5000,llm_bfs_with_statistics,0.20689655172413793,0.4,0.2727272727272727,0.15789473684210525,Not a DAG,0.16326530612244897,0.22448979591836735,0.7272727272727272,29,15,True,True
dag_15_nodes_15_edges_semantics_ER,5000,llm_bfs_with_statistics,0.3,0.2,0.24,0.13636363636363635,Not a DAG,0.3877551020408163,0.5102040816326531,0.76,10,15,True,True
dag_15_nodes_15_edges_semantics_SF,5000,llm_bfs_with_statistics,0.125,0.07142857142857142,0.09090909090909091,0.047619047619047616,Not a DAG,0.24691358024691357,0.2716049382716049,0.9090909090909091,8,14,True,True
dag_15_nodes_15_edges_semantics_random,5000,llm_bfs_with_statistics,0.24,0.4,0.3,0.17647058823529413,Not a DAG,0.12444444444444444,0.17777777777777778,0.7,25,15,True,True
dag_15_nodes_22_edges_degrees_ER,5000,llm_bfs_with_statistics,0.35714285714285715,0.22727272727272727,0.2777777777777778,0.16129032258064516,Not a DAG,0.11555555555555555,0.16,0.7222222222222222,14,22,True,True
dag_15_nodes_22_edges_degrees_SF,5000,llm_bfs_with_statistics,0.4,0.42857142857142855,0.4137931034482759,0.2608695652173913,Not a DAG,0.07555555555555556,0.1288888888888889,0.5862068965517242,15,14,True,True
dag_15_nodes_22_edges_degrees_random,5000,llm_bfs_with_statistics,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.24,Not a DAG,0.19,0.31,0.6129032258064516,9,22,True,True
dag_15_nodes_22_edges_none_ER,5000,llm_bfs_with_statistics,0.35714285714285715,0.22727272727272727,0.2777777777777778,0.16129032258064516,Not a DAG,0.18055555555555555,0.25,0.7222222222222222,14,22,True,True
dag_15_nodes_22_edges_none_SF,5000,llm_bfs_with_statistics,0.6363636363636364,0.5,0.56,0.3888888888888889,Not a DAG,0.05612244897959184,0.12755102040816327,0.44,11,14,True,True
dag_15_nodes_22_edges_none_random,5000,llm_bfs_with_statistics,0.8571428571428571,0.2727272727272727,0.41379310344827586,0.2608695652173913,Not a DAG,0.265625,0.453125,0.5862068965517241,7,22,True,True
dag_15_nodes_22_edges_semantics_ER,5000,llm_bfs_with_statistics,0.5,0.09090909090909091,0.15384615384615385,0.08333333333333333,Not a DAG,0.88,1.04,0.8461538461538461,4,22,True,True
dag_15_nodes_22_edges_semantics_SF,5000,llm_bfs_with_statistics,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.23529411764705882,Not a DAG,0.13,0.21,0.6190476190476191,7,14,True,True
dag_15_nodes_22_edges_semantics_random,5000,llm_bfs_with_statistics,0.8,0.5454545454545454,0.6486486486486486,0.48,Not a DAG,0.057777777777777775,0.16444444444444445,0.3513513513513513,15,22,True,True
dag_5_nodes_5_edges_degrees_ER,5000,llm_bfs_with_statistics,0.75,0.6,0.6666666666666665,0.5,Not a DAG,0.12,0.36,0.3333333333333333,4,5,True,True
dag_5_nodes_5_edges_degrees_SF,5000,llm_bfs_with_statistics,0.8,1.0,0.888888888888889,0.8,Not a DAG,0.04,0.36,0.11111111111111112,5,4,True,True
dag_5_nodes_5_edges_degrees_random,5000,llm_bfs_with_statistics,0.6666666666666666,0.4,0.5,0.3333333333333333,Not a DAG,0.25,0.5,0.5,3,5,True,True
dag_5_nodes_5_edges_none_ER,5000,llm_bfs_with_statistics,1.0,0.2,0.33333333333333337,0.2,Not a DAG,1.0,1.5,0.6666666666666666,1,5,True,True
dag_5_nodes_5_edges_none_SF,5000,llm_bfs_with_statistics,0.5,0.25,0.3333333333333333,0.2,Not a DAG,0.25,0.375,0.6666666666666666,2,4,True,True
dag_5_nodes_5_edges_none_random,5000,llm_bfs_with_statistics,1.0,0.2,0.33333333333333337,0.2,Not a DAG,1.0,1.5,0.6666666666666666,1,5,True,True
dag_5_nodes_5_edges_semantics_ER,5000,llm_bfs_with_statistics,0.75,0.6,0.6666666666666665,0.5,Not a DAG,0.12,0.36,0.3333333333333333,4,5,True,True
dag_5_nodes_5_edges_semantics_SF,5000,llm_bfs_with_statistics,1.0,0.75,0.8571428571428571,0.75,Not a DAG,0.0625,0.4375,0.14285714285714285,3,4,True,True
dag_5_nodes_5_edges_semantics_random,5000,llm_bfs_with_statistics,1.0,0.6,0.7499999999999999,0.6,Not a DAG,0.125,0.5,0.25,3,5,True,True
dag_5_nodes_7_edges_degrees_ER,5000,llm_bfs_with_statistics,1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714,Not a DAG,0.1875,0.6875,0.2727272727272727,4,7,True,True
dag_5_nodes_7_edges_degrees_SF,5000,llm_bfs_with_statistics,0.5,0.5,0.5,0.3333333333333333,Not a DAG,0.16,0.32,0.5,4,4,True,True
dag_5_nodes_7_edges_degrees_random,5000,llm_bfs_with_statistics,1.0,0.42857142857142855,0.6,0.42857142857142855,Not a DAG,0.25,0.625,0.4,3,7,True,True
dag_5_nodes_7_edges_none_ER,5000,llm_bfs_with_statistics,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,Not a DAG,0.04,0.52,0.07692307692307693,6,7,True,True
dag_5_nodes_7_edges_none_SF,5000,llm_bfs_with_statistics,0.6666666666666666,1.0,0.8,0.6666666666666666,Not a DAG,0.08,0.4,0.19999999999999998,6,4,True,True
dag_5_nodes_7_edges_none_random,5000,llm_bfs_with_statistics,0.7777777777777778,1.0,0.8750000000000001,0.7777777777777778,Not a DAG,0.08,0.64,0.125,9,7,True,True
dag_5_nodes_7_edges_semantics_ER,5000,llm_bfs_with_statistics,1.0,0.42857142857142855,0.6,0.42857142857142855,Not a DAG,0.4444444444444444,1.1111111111111112,0.39999999999999997,3,7,True,True
dag_5_nodes_7_edges_semantics_SF,5000,llm_bfs_with_statistics,1.0,0.25,0.4,0.25,Not a DAG,0.75,1.25,0.6,1,4,True,True
dag_5_nodes_7_edges_semantics_random,5000,llm_bfs_with_statistics,0.75,0.42857142857142855,0.5454545454545454,0.375,Not a DAG,0.2,0.44,0.4545454545454546,4,7,True,True
